Name,Price,Manufacturer,Category,Stock Availability,Scale,Type,Brand,Series,Review
HGGTO 005 MS-06R-1A Zaku II Ortega Custom,27,Bandai,Model Kit,In stock,1/144,HG - High Grade,None,Mobile Suit Gundam,4.0
HGGTO 021 RX-78-01(FSD) Gundam Full Scale Development,27,Bandai,Model Kit,In stock,1/144,HG - High Grade,None,Mobile Suit Gundam,5.0
30MM W-07 Option Weapon 1 for Rabiot,8,Bandai,Model Kit,In stock,1/144,HG - High Grade,30 Minute Missions,None,No reviews
HGBD:R 027 Gundam Try Age Magnum,25,Bandai,Model Kit,In stock,1/144,HG - High Grade,None,Mobile Suit Gundam,4.0
HG00 004 GN-003 Gundam Kyrios,20,Bandai,Model Kit,In stock,1/144,HG - High Grade,Mobile Suit Gundam,Gundam 00,No reviews
HGUC 106 Loto Twin Set,21,Bandai,Model Kit,In stock,1/144,HG - High Grade,None,Mobile Suit Gundam,2.0
HG00 001 GN-001 Gundam Exia,15,Bandai,Model Kit,In stock,1/144,HG - High Grade,Mobile Suit Gundam,Gundam 00,5.0
HGUC 073 Gaplant TR-05 Hrairoo,29.99,Bandai,Model Kit,In stock,1/144,HG - High Grade,None,Mobile Suit Gundam,3.5
HG00 006 GN-005 Gundam Virtue,19.99,Bandai,Model Kit,In stock,1/144,HG - High Grade,Mobile Suit Gundam,Gundam 00,4.0
HGBD:R 017 Mercuone Unit,12,Bandai,Model Kit,In stock,1/144,HG - High Grade,None,Mobile Suit Gundam,No reviews
HGUC 207 Blue Destiny Unit 1 Exam,21,Bandai,Model Kit,In stock,1/144,HG - High Grade,None,Mobile Suit Gundam,5.0
HGIBO 042 Gundam Gremory,23,Bandai,Model Kit,In stock,1/144,HG - High Grade,None,Mobile Suit Gundam,5.0
HGAG 001 Gundam AGE-1 Normal,15,Bandai,Model Kit,In stock,1/144,HG - High Grade,Mobile Suit Gundam,Gundam Age,5.0
HGGTO 002 RTX-65 Guntank Early Type,22,Bandai,Model Kit,In stock,1/144,HG - High Grade,None,Mobile Suit Gundam,4.8
HGUC 055 HI-Zack,13,Bandai,Model Kit,In stock,1/144,HG - High Grade,None,Mobile Suit Gundam,3.8
HGUC 014 AMX-011 Zaku III,19.99,Bandai,Model Kit,In stock,1/144,HG - High Grade,None,Mobile Suit Gundam,3.7
HGAC 242 Shenlong Gundam,19.99,Bandai,Model Kit,In stock,1/144,HG - High Grade,None,Mobile Suit Gundam,4.5
HGUC 189 V2 Assault Buster Gundam,25,Bandai,Model Kit,In stock,1/144,HG - High Grade,None,Mobile Suit Gundam,3.0
HGUC 051 RGM-79GS GM Command Space,10.99,Bandai,Model Kit,In stock,1/144,HG - High Grade,None,Mobile Suit Gundam,4.0
HGUC 061 MSA-005 Methuss,17,Bandai,Model Kit,In stock,1/144,HG - High Grade,None,Mobile Suit Gundam,3.0
HGCE 171 GAT-X105 Aile Strike Gundam (Revive),16,Bandai,Model Kit,In stock,1/144,HG - High Grade,Mobile Suit Gundam,Gundam Seed,3.0
HGUC 070 MS-14S Gelgoog,19.99,Bandai,Model Kit,In stock,1/144,HG - High Grade,None,Mobile Suit Gundam,5.0
HGUC 170 Silver Bullet,27,Bandai,Model Kit,In stock,1/144,HG - High Grade,None,Mobile Suit Gundam,5.0
HGUC 039 MSM-07E Z'Gok Experiment,15,Bandai,Model Kit,In stock,1/144,HG - High Grade,None,Mobile Suit Gundam,4.0
HGSEED 47 GSX-401FW Stargazer Gundam,21,Bandai,Model Kit,In stock,1/144,HG - High Grade,None,Mobile Suit Gundam,4.3
HGIB-A MS Option Set 1 & CGS Mobile Worker,9.99,Bandai,Model Kit,In stock,1/144,HG - High Grade,Mobile Suit Gundam,Iron-Blooded Orphans,4.5
HGBD:R 031 Nepteight Armor Unit,12,Bandai,Model Kit,In stock,1/144,HG - High Grade,None,Mobile Suit Gundam,No reviews
HGBD:R 019 Mercuone Weapons,9.99,Bandai,Model Kit,In stock,1/144,HG - High Grade,None,Mobile Suit Gundam,No reviews
HGUC 113 GM Type C,15,Bandai,Model Kit,In stock,1/144,HG - High Grade,None,Mobile Suit Gundam,5.0
HGIBO 043 Gundam Asmoday,25,Bandai,Model Kit,In stock,1/144,HG - High Grade,None,Mobile Suit Gundam,5.0
HGIB-A MS Option Set 07,9.99,Bandai,Model Kit,In stock,1/144,HG - High Grade,Mobile Suit Gundam,Iron-Blooded Orphans,5.0
HGBC 010 Gunpla Battle Arm Arms,9.99,Bandai,Model Kit,In stock,1/144,HG - High Grade,Mobile Suit Gundam,None,5.0
HGUC 006 Z'Gok,9.99,Bandai,Model Kit,In stock,1/144,HG - High Grade,None,Mobile Suit Gundam,5.0
HGUC 015 AMX-107 Bawoo,15,Bandai,Model Kit,In stock,1/144,HG - High Grade,None,Mobile Suit Gundam,No reviews
HGUC 241 MS-06F Zaku II (Revive),21,Bandai,Model Kit,In stock,1/144,HG - High Grade,None,Mobile Suit Gundam,No reviews
HGUC 197 Gyan (Revive),15,Bandai,Model Kit,In stock,1/144,HG - High Grade,None,Mobile Suit Gundam,5.0
HGBD:R 029 Fake Nu Unit,12,Bandai,Model Kit,In stock,1/144,HG - High Grade,None,Mobile Suit Gundam,4.0
HGGBB 09 Wing Gundam Sky Zero,26,Bandai,Model Kit,In stock,1/144,HG - High Grade,None,Mobile Suit Gundam,4.5
HGUC 107 MS-06F2 Zaku II F2 (EFSF Ver.),19.99,Bandai,Model Kit,In stock,1/144,HG - High Grade,None,Mobile Suit Gundam,4.5
HGUC 134 RX-0 Unicorn 02 Banshee (Destroy Mode),23,Bandai,Model Kit,In stock,1/144,HG - High Grade,None,Mobile Suit Gundam,4.5
HGGTO 011 Guncannon First Type (Iron Cavalry Squadron),23,Bandai,Model Kit,In stock,1/144,HG - High Grade,None,Mobile Suit Gundam,4.0
HGUC 193 RX-178 Gundam Mk-II (A.E.U.G.),20,Bandai,Model Kit,In stock,1/144,HG - High Grade,None,Mobile Suit Gundam,4.4
HG00 044 GN-001REII Gundam Exia Repair II,15,Bandai,Model Kit,In stock,1/144,HG - High Grade,Mobile Suit Gundam,Gundam 00,No reviews
HGUC 078 Acguy,17,Bandai,Model Kit,In stock,1/144,HG - High Grade,None,Mobile Suit Gundam,5.0
HGAG 010 Gundam AGE-2 Normal,19.99,Bandai,Model Kit,In stock,1/144,HG - High Grade,Mobile Suit Gundam,Gundam Age,5.0
HGUC 098 FA-78-3 Full Armor Gundam 7th,19.99,Bandai,Model Kit,In stock,1/144,HG - High Grade,None,Mobile Suit Gundam,5.0
HGUC 045 Gelgoog Jaegar,15,Bandai,Model Kit,In stock,1/144,HG - High Grade,None,Mobile Suit Gundam,4.0
HG MSV 03 ZGMF-1017M Ginn High Mobility,16,Bandai,Model Kit,In stock,1/144,HG - High Grade,Mobile Suit Gundam,Gundam Seed,No reviews
HGGBB 03 Perfect Strike Freedom,26,Bandai,Model Kit,In stock,1/144,HG - High Grade,None,Mobile Suit Gundam,5.0
HGUC 052 Marasai,17,Bandai,Model Kit,In stock,1/144,HG - High Grade,None,Mobile Suit Gundam,5.0
HGGTO 009 MS-05 Zaku I Denim/Slender,22,Bandai,Model Kit,In stock,1/144,HG - High Grade,None,Mobile Suit Gundam,5.0
HGGTO 013 MS-05S Zaku I Char Custom,22,Bandai,Model Kit,In stock,1/144,HG - High Grade,None,Mobile Suit Gundam,4.0
HGUC 178 Full Armor Unicorn Gundam (Destroy Mode),39,Bandai,Model Kit,In stock,1/144,HG - High Grade,None,Mobile Suit Gundam,5.0
HGAG 027 Gundam AGE-FX,21,Bandai,Model Kit,In stock,1/144,HG - High Grade,Mobile Suit Gundam,Gundam Age,5.0
